order_id,city,pincode,is_cod,is_guest,cart_value,hour_of_day
ORD-2026-9055,Pune,411001,1,0,11650,16
ORD-2026-9056,Mumbai,400001,0,0,10956,5
ORD-2026-9057,Kolkata,700001,0,1,7116,6
ORD-2026-9058,Jaipur,302001,0,0,2978,13
ORD-2026-9059,Kolkata,700001,1,0,6983,12
ORD-2026-9060,Kolkata,700001,1,0,10326,7
ORD-2026-9061,Kolkata,700001,0,1,7920,9
ORD-2026-9062,New Delhi,110001,1,1,10448,8
ORD-2026-9063,New Delhi,110001,1,0,4951,17
ORD-2026-9064,Mumbai,400001,0,1,10761,1
ORD-2026-9065,Bangalore,560034,1,0,6380,4
ORD-2026-9066,Kolkata,700001,0,0,7164,4
ORD-2026-9067,Pune,411001,1,1,3348,5
ORD-2026-9068,Bangalore,560034,0,1,11942,18
ORD-2026-9069,Pune,411001,1,1,7889,7
ORD-2026-9070,Bangalore,560034,1,1,7404,15
ORD-2026-9071,Mumbai,400001,0,0,12421,12
ORD-2026-9072,Kolkata,700001,0,0,2988,0
ORD-2026-9073,Kolkata,700001,1,0,10322,21
ORD-2026-9074,Chennai,600001,1,0,11507,19
ORD-2026-9075,Pune,411001,1,0,9706,16
ORD-2026-9076,Bangalore,560034,1,1,10039,6
ORD-2026-9077,Bangalore,560034,0,0,5110,12
ORD-2026-9078,New Delhi,110001,1,1,11778,3
ORD-2026-9079,Chennai,600001,0,1,3338,3
ORD-2026-9080,Jaipur,302001,1,1,9026,5
ORD-2026-9081,Jaipur,302001,1,0,6377,18
ORD-2026-9082,New Delhi,110001,1,0,9586,11
ORD-2026-9083,New Delhi,110001,0,0,6802,21
ORD-2026-9084,New Delhi,110001,1,0,12237,6
ORD-2026-9085,Pune,411001,1,1,1350,9
ORD-2026-9086,Pune,411001,1,0,2186,18
ORD-2026-9087,Mumbai,400001,1,0,10622,6
ORD-2026-9088,Mumbai,400001,1,1,7332,2
ORD-2026-9089,New Delhi,110001,1,0,12437,12
ORD-2026-9090,Chennai,600001,0,1,2926,12
ORD-2026-9091,Bangalore,560034,1,1,10259,17
ORD-2026-9092,Pune,411001,1,1,4499,19
ORD-2026-9093,Chennai,600001,1,0,5551,7
ORD-2026-9094,Kolkata,700001,1,0,3237,8
ORD-2026-9095,Pune,411001,1,1,12189,6
ORD-2026-9096,Pune,411001,1,0,6231,0
ORD-2026-9097,Mumbai,400001,1,1,5886,2
ORD-2026-9098,Bangalore,560034,0,1,8501,12
ORD-2026-9099,Bangalore,560034,0,1,6035,16
ORD-2026-9100,Jaipur,302001,0,0,4412,23
ORD-2026-9101,Jaipur,302001,1,0,1565,0
ORD-2026-9102,Jaipur,302001,1,1,8222,5
ORD-2026-9103,Jaipur,302001,1,0,4879,20
ORD-2026-9104,Kolkata,700001,1,0,11135,5
ORD-2026-9105,Kolkata,700001,0,0,4606,11
ORD-2026-9106,Pune,411001,1,1,6225,12
ORD-2026-9107,New Delhi,110001,1,1,3872,12
ORD-2026-9108,Mumbai,400001,0,0,12660,14
ORD-2026-9109,Mumbai,400001,0,0,11237,20
ORD-2026-9110,Jaipur,302001,0,1,9444,15
ORD-2026-9111,Pune,411001,0,1,2581,21
ORD-2026-9112,Chennai,600001,1,0,11465,20
ORD-2026-9113,New Delhi,110001,1,0,11587,10
ORD-2026-9114,Pune,411001,1,1,12876,4
ORD-2026-9115,New Delhi,110001,1,1,9466,3
ORD-2026-9116,New Delhi,110001,1,1,7247,2
ORD-2026-9117,New Delhi,110001,0,1,10316,18
ORD-2026-9118,Pune,411001,1,0,11760,19
ORD-2026-9119,Jaipur,302001,1,0,916,17
ORD-2026-9120,Mumbai,400001,1,1,8805,14
ORD-2026-9121,Mumbai,400001,1,1,9307,8
ORD-2026-9122,Jaipur,302001,1,1,4473,16
ORD-2026-9123,New Delhi,110001,0,1,3766,13
ORD-2026-9124,Chennai,600001,0,0,1324,14
ORD-2026-9125,Bangalore,560034,1,0,8167,0
ORD-2026-9126,Pune,411001,1,1,6244,20
ORD-2026-9127,Bangalore,560034,1,1,10207,21
ORD-2026-9128,Jaipur,302001,0,1,11837,21
ORD-2026-9129,Chennai,600001,1,1,911,2
ORD-2026-9130,Pune,411001,1,1,8042,15
ORD-2026-9131,Jaipur,302001,0,0,8086,22
ORD-2026-9132,New Delhi,110001,0,0,1227,10
ORD-2026-9133,Mumbai,400001,1,0,12039,11
ORD-2026-9134,Bangalore,560034,1,0,7663,9
ORD-2026-9135,Kolkata,700001,1,0,11499,15
ORD-2026-9136,Kolkata,700001,1,0,9366,7
ORD-2026-9137,Chennai,600001,1,0,12156,5
ORD-2026-9138,New Delhi,110001,1,0,6487,11
ORD-2026-9139,Bangalore,560034,1,0,3003,23
ORD-2026-9140,New Delhi,110001,1,0,3466,20
ORD-2026-9141,Bangalore,560034,0,0,3285,7
ORD-2026-9142,Chennai,600001,1,1,1621,3
ORD-2026-9143,Chennai,600001,1,0,4578,7
ORD-2026-9144,Kolkata,700001,0,0,2070,17
ORD-2026-9145,New Delhi,110001,0,0,5572,4
ORD-2026-9146,Pune,411001,1,1,5603,8
ORD-2026-9147,Kolkata,700001,1,0,2642,3
ORD-2026-9148,New Delhi,110001,0,1,10378,21
ORD-2026-9149,Kolkata,700001,0,0,7305,16
